;ter;cr_in;Population;gdp_p;unem;life_ex;dea;bir;emp;emp_s;emp_a;emp_i;edu_ex;mil_ex
68;Maldives;46,98;496402;9540,63;5,98;78,33;2,88;14,89;64,27;72,41;8,95;18,64;191532327,9;
69;Malta;30,56;467999;27239,07;4;82,35;7,6;9,2;53,47;79,19;1;19,81;551221698,8;64235888,17
70;Mauritius;51,13;1264613;10484,91;6,75;74,51;8;10,7;54,92;67,72;6,48;25,8;695116271,4;23823068,18
71;Mexico;50,32;124777324;9278,42;3,42;74,95;5,93;17,92;58,41;60,87;13,12;26,01;55037707570;5781437375
72;Moldova;45,35;2755158;3509,69;4,1;71,72;11,53;10,27;40,61;51,02;32,34;16,65;476395004,4;30629080,99
73;Mongolia;67,62;3113779;3669,42;6,36;69,51;6,3;24,83;56,1;52;28,78;19,22;425346080,6;82755201,79
74;Montenegro;38,67;622373;7803,41;16,07;76,67;10,59;11,78;44,76;74,98;7,93;17,08;;65734886,38
75;Morocco;48,89;35581294;3036,33;9,19;76,22;5,07;19,4;41,31;42,44;35,9;21,66;5593342551;3461461531
76;Namibia;63,09;2402603;5303,31;21,57;63,02;8,23;29,11;46,78;61,03;21,35;17,63;361460160,9;457882191,3
77;Nepal;37,15;27627124;911,44;1,4;70,17;6,4;20,2;82,4;19,17;66,2;14,63;826574638,9;404705219,5
78;Netherlands;29,89;17131296;48675,22;4,84;81,76;8,8;9,9;60,51;81,21;2,27;16,52;41672104723;9580685498
79;New Zealand;38,78;4793900;42849,43;4,7;81,66;6,95;12,43;66,76;73,3;6,22;20,48;14350544613;2328156653
80;Nigeria;70,87;190873311;1968,56;8,39;53,95;12,11;38,38;48,72;51,7;36,1;12,2;3096149995;1621218176
81;North Macedonia;38,66;2081996;5430,87;22,38;75,59;9,97;10,95;42,82;53,21;16,24;30,55;354926472,5;111826544,2
82;Norway;45,69;5276968;75496,75;4,16;82,61;7,7;10,7;60,95;78,53;2,06;19,41;27698818179;6465750412
83;Oman;24,47;4665935;15130,94;3,02;77,39;2,46;19,79;69,36;62,16;4,76;33,08;4398152687;6802665800
84;Pakistan;54,38;207896686;1464,99;3,94;66,95;6,99;28,6;50,56;35,85;39,85;24,3;6511909602;11461253917
86;Panama;50,01;4106771;15150,35;3,9;78,15;5,05;19,26;62,39;66,96;14,49;18,55;1636856320;
87;Papua New Guinea;82,38;8438029;2695,25;2,48;64,01;7,52;27,36;46,15;33,63;59,89;6,48;1538301924;71907641,56
88;Peru;63,28;31444297;6710,51;3,46;76,29;5,44;18,13;74,26;56,65;27,69;15,65;6805252606;2665785313
89;Philippines;39,77;105173264;3123,23;2,55;70,95;5,84;21,04;58,15;56,29;25,44;18,27;6710824062;3755351173
90;Poland;31,53;37974826;13861,31;4,89;77,75;10,6;10,6;54,27;58,11;10,22;31,67;23175154034;9870680628
91;Portugal;35,39;10300300;21490,43;8,87;81,42;10,7;8,4;53,79;68,86;6,4;24,74;10330556336;3646515110
92;Puerto Rico;69,19;3325286;31108,75;10,8;79,63;9,22;7,3;35,98;82,97;1,11;15,92;5955485066;
93;Qatar;15,7;2724724;61264,4;0,14;79,98;1,17;9,7;86,71;44,25;1,25;54,51;3711802509;
94;Romania;27,95;19587290;10807,8;4,93;75,31;13,3;10,3;52,29;47,1;22,78;30,12;5864163707;3622068492
95;Russia;46,05;144496740;10720,33;5,21;72,43;12,4;11,5;59,08;67,13;5,9;26,97;55488355378;66527303992
96;Saudi Arabia;23,65;33099147;20803,74;5,89;74,87;3,45;18,32;52,65;71,79;3,56;24,64;50251855720;70400000000
97;Serbia;38,62;7020858;6284,19;13,48;75,54;14,8;9,2;47,13;57,48;17,22;25,3;1555448238;801700087,2
98;Singapore;16,58;5612253;60913,75;4,2;83,1;5;8,9;68;82,94;0,76;16,3;8719359461;10195721999
99;Slovakia;30,18;5439232;17554,31;8,13;77,17;9,9;10,7;55,1;60,13;2,71;37,16;3549516333;1049074347
100;Slovenia;24,05;2066388;23500,75;6,56;81,03;9,9;9,8;54,68;61,19;5,56;33,25;2050130653;473796757,2
101;Somalia;58,83;14589119;;11,41;56,71;11,06;41,92;41,86;13,03;83,3;3,67;;60406000
